Experiment,Class_ID,Class,Train Sample Count,Is Minority,Per-class Recall,Per-class F1
weighted_ce,24,Soybean___healthy,814,False,0.6842105263157895,0.8
weighted_ce,25,Squash___Powdery_mildew,293,False,0.9272727272727272,0.9444444444444444
weighted_ce,26,Strawberry___Leaf_scorch,177,False,0.8181818181818182,0.84375
weighted_ce,27,Strawberry___healthy,164,False,1.0,0.8387096774193549
weighted_ce,28,Tomato___Bacterial_spot,340,False,0.7619047619047619,0.8205128205128205
weighted_ce,29,Tomato___Early_blight,160,False,0.7,0.5915492957746479
weighted_ce,30,Tomato___Late_blight,305,False,0.3508771929824561,0.46511627906976744
weighted_ce,31,Tomato___Leaf_Mold,152,True,0.5,0.6363636363636364
weighted_ce,32,Tomato___Septoria_leaf_spot,283,False,0.4528301886792453,0.5274725274725275
weighted_ce,33,Tomato___Spider_mites Two-spotted_spider_mite,268,False,0.82,0.6356589147286822
weighted_ce,34,Tomato___Target_Spot,224,False,0.6190476190476191,0.6933333333333334
weighted_ce,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,False,0.83125,0.8498402555910544
weighted_ce,36,Tomato___Tomato_mosaic_virus,134,True,0.9090909090909091,0.5128205128205128
weighted_ce,37,Tomato___healthy,254,False,1.0,0.9494949494949495
focal_loss,0,Apple___Apple_scab,100,True,0.6111111111111112,0.6666666666666666
focal_loss,1,Apple___Black_rot,223,False,1.0,0.782608695652174
focal_loss,2,Apple___Cedar_apple_rust,99,True,0.625,0.6666666666666666
focal_loss,3,Apple___healthy,263,False,0.7755102040816326,0.7450980392156863
focal_loss,4,Blueberry___healthy,240,False,1.0,0.9090909090909091
focal_loss,5,Cherry_(including_sour)___Powdery_mildew,168,False,0.6451612903225806,0.7843137254901961
focal_loss,6,Cherry_(including_sour)___healthy,136,True,0.8,0.851063829787234
focal_loss,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,False,0.6,0.6
focal_loss,8,Corn_(maize)___Common_rust_,190,False,0.8055555555555556,0.8923076923076924
focal_loss,9,Corn_(maize)___Northern_Leaf_Blight,157,True,0.9310344827586207,0.782608695652174
focal_loss,10,Corn_(maize)___healthy,186,False,0.9705882352941176,0.9850746268656716
focal_loss,11,Grape___Black_rot,188,False,0.6285714285714286,0.7096774193548387
focal_loss,12,Grape___Esca_(Black_Measles),221,False,0.8780487804878049,0.8571428571428571
focal_loss,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,False,0.875,0.8888888888888888
focal_loss,14,Grape___healthy,152,True,0.75,0.782608695652174
focal_loss,15,Orange___Haunglongbing_(Citrus_greening),881,False,0.9939393939393939,0.973293768545994
focal_loss,16,Peach___Bacterial_spot,367,False,0.855072463768116,0.7564102564102564
focal_loss,17,Peach___healthy,129,True,1.0,0.8333333333333334
focal_loss,18,"Pepper,_bell___Bacterial_spot",159,False,0.5517241379310345,0.6530612244897959
focal_loss,19,"Pepper,_bell___healthy",236,False,0.7954545454545454,0.8536585365853658
focal_loss,20,Potato___Early_blight,160,False,0.9666666666666667,0.7631578947368421
focal_loss,21,Potato___Late_blight,160,False,0.36666666666666664,0.4888888888888889
focal_loss,22,Potato___healthy,54,True,0.875,0.9333333333333333
focal_loss,23,Raspberry___healthy,133,True,0.9090909090909091,0.9523809523809523
focal_loss,24,Soybean___healthy,814,False,0.9671052631578947,0.9158878504672897
focal_loss,25,Squash___Powdery_mildew,293,False,1.0,1.0
focal_loss,26,Strawberry___Leaf_scorch,177,False,0.8181818181818182,0.8307692307692308
focal_loss,27,Strawberry___healthy,164,False,0.9230769230769231,0.8888888888888888
focal_loss,28,Tomato___Bacterial_spot,340,False,0.6666666666666666,0.7777777777777778
focal_loss,29,Tomato___Early_blight,160,False,0.43333333333333335,0.5909090909090909
focal_loss,30,Tomato___Late_blight,305,False,0.5964912280701754,0.5573770491803278
focal_loss,31,Tomato___Leaf_Mold,152,True,0.5714285714285714,0.6666666666666666
focal_loss,32,Tomato___Septoria_leaf_spot,283,False,0.6792452830188679,0.6792452830188679
focal_loss,33,Tomato___Spider_mites Two-spotted_spider_mite,268,False,0.72,0.7741935483870968
focal_loss,34,Tomato___Target_Spot,224,False,0.9047619047619048,0.7755102040816326
focal_loss,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,False,0.90625,0.9446254071661238
focal_loss,36,Tomato___Tomato_mosaic_virus,134,True,1.0,0.7586206896551724
focal_loss,37,Tomato___healthy,254,False,1.0,0.9690721649484536
class_balanced_loss,0,Apple___Apple_scab,100,True,0.6666666666666666,0.6857142857142857
class_balanced_loss,1,Apple___Black_rot,223,False,0.8888888888888888,0.8205128205128205
class_balanced_loss,2,Apple___Cedar_apple_rust,99,True,0.875,0.5833333333333334
class_balanced_loss,3,Apple___healthy,263,False,0.7346938775510204,0.7346938775510204
class_balanced_loss,4,Blueberry___healthy,240,False,0.9777777777777777,0.9361702127659575
class_balanced_loss,5,Cherry_(including_sour)___Powdery_mildew,168,False,0.8709677419354839,0.8571428571428571
class_balanced_loss,6,Cherry_(including_sour)___healthy,136,True,0.96,0.9230769230769231
class_balanced_loss,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,False,0.9333333333333333,0.7368421052631579
class_balanced_loss,8,Corn_(maize)___Common_rust_,190,False,0.9166666666666666,0.9428571428571428
class_balanced_loss,9,Corn_(maize)___Northern_Leaf_Blight,157,True,0.7931034482758621,0.8363636363636363
class_balanced_loss,10,Corn_(maize)___healthy,186,False,0.9705882352941176,0.9705882352941176
class_balanced_loss,11,Grape___Black_rot,188,False,0.6571428571428571,0.6764705882352942
class_balanced_loss,12,Grape___Esca_(Black_Measles),221,False,0.926829268292683,0.8444444444444444
class_balanced_loss,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,False,0.96875,0.9538461538461539
class_balanced_loss,14,Grape___healthy,152,True,1.0,0.7272727272727273
class_balanced_loss,15,Orange___Haunglongbing_(Citrus_greening),881,False,0.9818181818181818,0.972972972972973
class_balanced_loss,16,Peach___Bacterial_spot,367,False,0.5942028985507246,0.6666666666666666
class_balanced_loss,17,Peach___healthy,129,True,1.0,0.8333333333333334
class_balanced_loss,18,"Pepper,_bell___Bacterial_spot",159,False,0.6206896551724138,0.6545454545454545
class_balanced_loss,19,"Pepper,_bell___healthy",236,False,0.8863636363636364,0.8666666666666667
class_balanced_loss,20,Potato___Early_blight,160,False,0.9666666666666667,0.8656716417910447
class_balanced_loss,21,Potato___Late_blight,160,False,0.6666666666666666,0.6451612903225806
class_balanced_loss,22,Potato___healthy,54,True,1.0,0.5925925925925926
class_balanced_loss,23,Raspberry___healthy,133,True,0.9090909090909091,0.8695652173913043
class_balanced_loss,24,Soybean___healthy,814,False,0.8157894736842105,0.8888888888888888
class_balanced_loss,25,Squash___Powdery_mildew,293,False,0.9636363636363636,0.9636363636363636
class_balanced_loss,26,Strawberry___Leaf_scorch,177,False,0.9696969696969697,0.9411764705882353
class_balanced_loss,27,Strawberry___healthy,164,False,1.0,0.7878787878787878
class_balanced_loss,28,Tomato___Bacterial_spot,340,False,0.6507936507936508,0.7454545454545455
class_balanced_loss,29,Tomato___Early_blight,160,False,0.7666666666666667,0.6666666666666666
class_balanced_loss,30,Tomato___Late_blight,305,False,0.5789473684210527,0.6055045871559633
class_balanced_loss,31,Tomato___Leaf_Mold,152,True,0.75,0.7636363636363637
class_balanced_loss,32,Tomato___Septoria_leaf_spot,283,False,0.4528301886792453,0.5714285714285714
class_balanced_loss,33,Tomato___Spider_mites Two-spotted_spider_mite,268,False,0.96,0.8275862068965517
class_balanced_loss,34,Tomato___Target_Spot,224,False,0.6904761904761905,0.7631578947368421
class_balanced_loss,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,False,0.86875,0.9266666666666666
class_balanced_loss,36,Tomato___Tomato_mosaic_virus,134,True,0.9090909090909091,0.6666666666666666
class_balanced_loss,37,Tomato___healthy,254,False,1.0,0.9306930693069307
