Experiment,Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Precision,Recall,F1-score
sampler_light_aug,2,Apple___Cedar_apple_rust,99,8,True,0.6,0.75,0.6666666666666666
sampler_light_aug,3,Apple___healthy,263,49,False,0.7837837837837838,0.5918367346938775,0.6744186046511628
sampler_light_aug,4,Blueberry___healthy,240,45,False,0.9166666666666666,0.9777777777777777,0.946236559139785
sampler_light_aug,5,Cherry_(including_sour)___Powdery_mildew,168,31,False,0.9310344827586207,0.8709677419354839,0.9
sampler_light_aug,6,Cherry_(including_sour)___healthy,136,25,True,0.4791666666666667,0.92,0.6301369863013698
sampler_light_aug,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,15,False,0.5416666666666666,0.8666666666666667,0.6666666666666666
sampler_light_aug,8,Corn_(maize)___Common_rust_,190,36,False,1.0,0.9444444444444444,0.9714285714285714
sampler_light_aug,9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.7391304347826086,0.5862068965517241,0.6538461538461539
sampler_light_aug,10,Corn_(maize)___healthy,186,34,False,1.0,0.9705882352941176,0.9850746268656716
sampler_light_aug,11,Grape___Black_rot,188,35,False,0.7647058823529411,0.7428571428571429,0.7536231884057971
sampler_light_aug,12,Grape___Esca_(Black_Measles),221,41,False,0.8809523809523809,0.9024390243902439,0.891566265060241
sampler_light_aug,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,32,False,0.7837837837837838,0.90625,0.8405797101449275
sampler_light_aug,14,Grape___healthy,152,12,True,0.32432432432432434,1.0,0.4897959183673469
sampler_light_aug,15,Orange___Haunglongbing_(Citrus_greening),881,165,False,0.9931972789115646,0.8848484848484849,0.9358974358974359
sampler_light_aug,16,Peach___Bacterial_spot,367,69,False,0.8297872340425532,0.5652173913043478,0.6724137931034483
sampler_light_aug,17,Peach___healthy,129,10,True,0.7692307692307693,1.0,0.8695652173913043
sampler_light_aug,18,"Pepper,_bell___Bacterial_spot",159,29,False,0.75,0.5172413793103449,0.6122448979591837
sampler_light_aug,19,"Pepper,_bell___healthy",236,44,False,0.8888888888888888,0.7272727272727273,0.8
sampler_light_aug,20,Potato___Early_blight,160,30,False,0.7567567567567568,0.9333333333333333,0.835820895522388
sampler_light_aug,21,Potato___Late_blight,160,30,False,0.5952380952380952,0.8333333333333334,0.6944444444444444
sampler_light_aug,22,Potato___healthy,54,8,True,0.4,1.0,0.5714285714285714
sampler_light_aug,23,Raspberry___healthy,133,11,True,0.7857142857142857,1.0,0.88
sampler_light_aug,24,Soybean___healthy,814,152,False,0.9814814814814815,0.6973684210526315,0.8153846153846154
sampler_light_aug,25,Squash___Powdery_mildew,293,55,False,0.8833333333333333,0.9636363636363636,0.9217391304347826
sampler_light_aug,26,Strawberry___Leaf_scorch,177,33,False,0.7045454545454546,0.9393939393939394,0.8051948051948052
sampler_light_aug,27,Strawberry___healthy,164,13,False,0.9285714285714286,1.0,0.9629629629629629
sampler_light_aug,28,Tomato___Bacterial_spot,340,63,False,0.864406779661017,0.8095238095238095,0.8360655737704918
sampler_light_aug,29,Tomato___Early_blight,160,30,False,0.625,0.8333333333333334,0.7142857142857143
sampler_light_aug,30,Tomato___Late_blight,305,57,False,0.8571428571428571,0.42105263157894735,0.5647058823529412
sampler_light_aug,31,Tomato___Leaf_Mold,152,28,True,0.7777777777777778,0.75,0.7636363636363637
sampler_light_aug,32,Tomato___Septoria_leaf_spot,283,53,False,0.5652173913043478,0.49056603773584906,0.5252525252525253
sampler_light_aug,33,Tomato___Spider_mites Two-spotted_spider_mite,268,50,False,0.4835164835164835,0.88,0.624113475177305
sampler_light_aug,34,Tomato___Target_Spot,224,42,False,0.7291666666666666,0.8333333333333334,0.7777777777777778
sampler_light_aug,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,160,False,0.9701492537313433,0.8125,0.8843537414965986
sampler_light_aug,36,Tomato___Tomato_mosaic_virus,134,11,True,0.625,0.9090909090909091,0.7407407407407407
sampler_light_aug,37,Tomato___healthy,254,47,False,0.9574468085106383,0.9574468085106383,0.9574468085106383
sampler_aug_earlystop,0,Apple___Apple_scab,100,18,True,0.625,0.5555555555555556,0.5882352941176471
sampler_aug_earlystop,1,Apple___Black_rot,223,18,False,0.8,0.8888888888888888,0.8421052631578947
sampler_aug_earlystop,2,Apple___Cedar_apple_rust,99,8,True,0.8,1.0,0.8888888888888888
sampler_aug_earlystop,3,Apple___healthy,263,49,False,0.7727272727272727,0.6938775510204082,0.7311827956989247
sampler_aug_earlystop,4,Blueberry___healthy,240,45,False,0.9767441860465116,0.9333333333333333,0.9545454545454546
sampler_aug_earlystop,5,Cherry_(including_sour)___Powdery_mildew,168,31,False,0.9285714285714286,0.8387096774193549,0.8813559322033898
sampler_aug_earlystop,6,Cherry_(including_sour)___healthy,136,25,True,0.631578947368421,0.96,0.7619047619047619
sampler_aug_earlystop,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,15,False,0.8571428571428571,0.8,0.8275862068965517
sampler_aug_earlystop,8,Corn_(maize)___Common_rust_,190,36,False,0.9714285714285714,0.9444444444444444,0.9577464788732394
sampler_aug_earlystop,9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.8709677419354839,0.9310344827586207,0.9
sampler_aug_earlystop,10,Corn_(maize)___healthy,186,34,False,1.0,0.9411764705882353,0.9696969696969697
sampler_aug_earlystop,11,Grape___Black_rot,188,35,False,0.7692307692307693,0.8571428571428571,0.8108108108108109
sampler_aug_earlystop,12,Grape___Esca_(Black_Measles),221,41,False,0.925,0.9024390243902439,0.9135802469135802
sampler_aug_earlystop,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,32,False,0.9354838709677419,0.90625,0.9206349206349206
sampler_aug_earlystop,14,Grape___healthy,152,12,True,0.6875,0.9166666666666666,0.7857142857142857
sampler_aug_earlystop,15,Orange___Haunglongbing_(Citrus_greening),881,165,False,0.9815950920245399,0.9696969696969697,0.975609756097561
sampler_aug_earlystop,16,Peach___Bacterial_spot,367,69,False,0.6909090909090909,0.5507246376811594,0.6129032258064516
sampler_aug_earlystop,17,Peach___healthy,129,10,True,0.9090909090909091,1.0,0.9523809523809523
sampler_aug_earlystop,18,"Pepper,_bell___Bacterial_spot",159,29,False,0.4716981132075472,0.8620689655172413,0.6097560975609756
sampler_aug_earlystop,19,"Pepper,_bell___healthy",236,44,False,0.9583333333333334,0.5227272727272727,0.6764705882352942
sampler_aug_earlystop,20,Potato___Early_blight,160,30,False,0.8285714285714286,0.9666666666666667,0.8923076923076924
sampler_aug_earlystop,21,Potato___Late_blight,160,30,False,0.6875,0.7333333333333333,0.7096774193548387
sampler_aug_earlystop,22,Potato___healthy,54,8,True,0.3333333333333333,0.875,0.4827586206896552
sampler_aug_earlystop,23,Raspberry___healthy,133,11,True,0.9166666666666666,1.0,0.9565217391304348
sampler_aug_earlystop,24,Soybean___healthy,814,152,False,0.9534883720930233,0.8092105263157895,0.8754448398576512
sampler_aug_earlystop,25,Squash___Powdery_mildew,293,55,False,0.9298245614035088,0.9636363636363636,0.9464285714285714
sampler_aug_earlystop,26,Strawberry___Leaf_scorch,177,33,False,0.8378378378378378,0.9393939393939394,0.8857142857142857
sampler_aug_earlystop,27,Strawberry___healthy,164,13,False,0.8,0.9230769230769231,0.8571428571428571
sampler_aug_earlystop,28,Tomato___Bacterial_spot,340,63,False,0.819672131147541,0.7936507936507936,0.8064516129032258
sampler_aug_earlystop,29,Tomato___Early_blight,160,30,False,0.9047619047619048,0.6333333333333333,0.7450980392156863
sampler_aug_earlystop,30,Tomato___Late_blight,305,57,False,0.7619047619047619,0.5614035087719298,0.6464646464646465
sampler_aug_earlystop,31,Tomato___Leaf_Mold,152,28,True,0.65625,0.75,0.7
sampler_aug_earlystop,32,Tomato___Septoria_leaf_spot,283,53,False,0.6078431372549019,0.5849056603773585,0.5961538461538461
sampler_aug_earlystop,33,Tomato___Spider_mites Two-spotted_spider_mite,268,50,False,0.6133333333333333,0.92,0.736
sampler_aug_earlystop,34,Tomato___Target_Spot,224,42,False,0.8,0.8571428571428571,0.8275862068965517
sampler_aug_earlystop,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,160,False,0.972027972027972,0.86875,0.9174917491749175
sampler_aug_earlystop,36,Tomato___Tomato_mosaic_virus,134,11,True,0.6111111111111112,1.0,0.7586206896551724
sampler_aug_earlystop,37,Tomato___healthy,254,47,False,0.9591836734693877,1.0,0.9791666666666666
hybrid_resampling,0,Apple___Apple_scab,100,18,True,0.5238095238095238,0.6111111111111112,0.5641025641025641
hybrid_resampling,1,Apple___Black_rot,223,18,False,0.7391304347826086,0.9444444444444444,0.8292682926829268
hybrid_resampling,2,Apple___Cedar_apple_rust,99,8,True,0.6666666666666666,1.0,0.8
hybrid_resampling,3,Apple___healthy,263,49,False,0.6,0.7346938775510204,0.6605504587155964
hybrid_resampling,4,Blueberry___healthy,240,45,False,0.7258064516129032,1.0,0.8411214953271028
hybrid_resampling,5,Cherry_(including_sour)___Powdery_mildew,168,31,False,0.6304347826086957,0.9354838709677419,0.7532467532467533
hybrid_resampling,6,Cherry_(including_sour)___healthy,136,25,True,0.7407407407407407,0.8,0.7692307692307693
hybrid_resampling,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,15,False,0.7058823529411765,0.8,0.75
hybrid_resampling,8,Corn_(maize)___Common_rust_,190,36,False,1.0,1.0,1.0
hybrid_resampling,9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.8928571428571429,0.8620689655172413,0.8771929824561403
hybrid_resampling,10,Corn_(maize)___healthy,186,34,False,0.9428571428571428,0.9705882352941176,0.9565217391304348
hybrid_resampling,11,Grape___Black_rot,188,35,False,0.7567567567567568,0.8,0.7777777777777778
hybrid_resampling,12,Grape___Esca_(Black_Measles),221,41,False,0.8780487804878049,0.8780487804878049,0.8780487804878049
hybrid_resampling,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,32,False,0.9310344827586207,0.84375,0.8852459016393442
hybrid_resampling,14,Grape___healthy,152,12,True,0.36363636363636365,1.0,0.5333333333333333
hybrid_resampling,15,Orange___Haunglongbing_(Citrus_greening),881,165,False,0.99375,0.9636363636363636,0.9784615384615385
hybrid_resampling,16,Peach___Bacterial_spot,367,69,False,0.7818181818181819,0.6231884057971014,0.6935483870967742
hybrid_resampling,17,Peach___healthy,129,10,True,0.7692307692307693,1.0,0.8695652173913043
hybrid_resampling,18,"Pepper,_bell___Bacterial_spot",159,29,False,0.6666666666666666,0.6896551724137931,0.6779661016949152
